"states","retail","grocery","parks","transit","workplace","residence"
"Alabama","-50%","-18%","-1%","-40%","-36%","+12%"
"Alaska","-41%","-17%","+29%","-52%","-32%","+9%"
"Arizona","-43%","-19%","-23%","-47%","-37%","+11%"
"Arkansas","-36%","-3%","+25%","-33%","-29%","+8%"
"California","-53%","-27%","-61%","-59%","-42%","+16%"
"Colorado","-47%","-21%","+10%","-58%","-41%","+12%"
"Connecticut","-50%","-26%","+23%","-61%","-38%","+13%"
"Delaware","-47%","-27%","+37%","-56%","-39%","+12%"
"Florida","-57%","-33%","-70%","-70%","-45%","+15%"
"Georgia","-50%","-22%","-13%","-59%","-42%","+13%"
"Hawaii","-55%","-26%","-67%","-76%","-46%","+16%"
"Idaho","-40%","-14%","+30%","-36%","-39%","+10%"
"Illinois","-50%","-16%","+24%","-52%","-39%","+12%"
"Indiana","-45%","-17%","+54%","-35%","-37%","+10%"
"Iowa","-39%","+1%","+134%","-28%","-29%","+8%"
"Kansas","-43%","-18%","+25%","-30%","-34%","+10%"
"Kentucky","-39%","-5%","+57%","-37%","-36%","+9%"
"Louisiana","-46%","-10%","-19%","-54%","-37%","+12%"
"Maine","-50%","-23%","+20%","-59%","-34%","+10%"
"Maryland","-47%","-25%","+35%","-53%","-42%","+14%"
"Massachusetts","-53%","-27%","+25%","-68%","-42%","+14%"
"Michigan","-55%","-24%","+92%","-53%","-44%","+11%"
"Minnesota","-46%","-18%","+98%","-58%","-37%","+12%"
"Mississippi","-43%","-14%","-8%","-37%","-35%","+11%"
"Missouri","-43%","-6%","+5%","-40%","-34%","+10%"
"Montana","-45%","-17%","+23%","-40%","-36%","+9%"
"Nebraska","-40%","-8%","+56%","-25%","-27%","+9%"
"Nevada","-49%","-22%","-46%","-64%","-55%","+15%"
"New_Hampshire","-48%","-26%","+15%","-57%","-37%","+11%"
"New_Jersey","-66%","-11%","+26%","-67%","-45%","+16%"
"New_Mexico","-41%","-11%","-7%","-33%","-35%","+10%"
"New_York","-59%","-28%","-11%","-68%","-47%","+15%"
"North_Carolina","-43%","-14%","+5%","-55%","-38%","+11%"
"North_Dakota","-50%","-15%","-2%","-44%","-28%","+11%"
"Ohio","-46%","-18%","+37%","-39%","-37%","+11%"
"Oklahoma","-41%","-8%","-3%","-30%","-35%","+10%"
"Oregon","-46%","-18%","-1%","-44%","-39%","+11%"
"Pennsylvania","-50%","-24%","+52%","-51%","-39%","+12%"
"Rhode_Island","-50%","-25%","+4%","-59%","-37%","+13%"
"South_Carolina","-42%","-11%","-24%","-41%","-38%","+10%"
"South_Dakota","-38%","-3%","+81%","-36%","-29%","+9%"
"Tennessee","-43%","-9%","+2%","-42%","-38%","+10%"
"Texas","-48%","-23%","-47%","-53%","-39%","+14%"
"Utah","-42%","-13%","+16%","-49%","-43%","+10%"
"Vermont","-58%","-34%","-1%","-69%","-42%","+11%"
"Virginia","-44%","-18%","+21%","-56%","-39%","+12%"
"Washington","-46%","-21%","-11%","-56%","-42%","+12%"
"West_Virginia","-40%","-8%","+28%","-36%","-33%","+8%"
"Wisconsin","-47%","-18%","+124%","-40%","-33%","+10%"
"Wyoming","-39%","-11%","+22%","-21%","-31%","+9%"
