"states","retail","grocery","parks","transit","workplace","residence"
"Alabama","-41%","-13%","+19%","-30%","-32%","+9%"
"Alaska","-48%","-27%","+18%","-55%","-33%","+10%"
"Arizona","-40%","-17%","-7%","-41%","-33%","+10%"
"Arkansas","-29%","-7%","+81%","-22%","-27%","+7%"
"California","-50%","-24%","-38%","-54%","-39%","+15%"
"Colorado","-51%","-27%","-12%","-60%","-40%","+13%"
"Connecticut","-56%","-32%","-52%","-64%","-38%","+15%"
"Delaware","-47%","-28%","-6%","-57%","-37%","+12%"
"Florida","-50%","-26%","-48%","-63%","-41%","+13%"
"Georgia","-42%","-17%","-2%","-52%","-37%","+11%"
"Hawaii","-56%","-36%","-65%","-72%","-45%","+16%"
"Idaho","-42%","-18%","+25%","-34%","-38%","+10%"
"Illinois","-53%","-24%","-29%","-55%","-39%","+13%"
"Indiana","-48%","-25%","+24%","-34%","-36%","+11%"
"Iowa","-43%","-10%","+41%","-28%","-29%","+10%"
"Kansas","-36%","-14%","+72%","-20%","-30%","+9%"
"Kentucky","-37%","-11%","+68%","-34%","-34%","+9%"
"Louisiana","-45%","-16%","-18%","-49%","-35%","+11%"
"Maine","-50%","-22%","-24%","-56%","-31%","+10%"
"Maryland","-45%","-25%","+29%","-51%","-39%","+13%"
"Massachusetts","-59%","-36%","-56%","-73%","-42%","+16%"
"Michigan","-58%","-28%","+15%","-55%","-43%","+12%"
"Minnesota","-58%","-35%","-16%","-64%","-38%","+14%"
"Mississippi","-32%","-7%","+27%","-29%","-30%","+9%"
"Missouri","-38%","-12%","+73%","-34%","-32%","+9%"
"Montana","-51%","-25%","+28%","-37%","-37%","+10%"
"Nebraska","-34%","-9%","+109%","-18%","-24%","+8%"
"Nevada","-47%","-23%","-38%","-62%","-52%","+14%"
"New_Hampshire","-58%","-35%","-63%","-63%","-38%","+13%"
"New_Jersey","-59%","-33%","-36%","-70%","-44%","+16%"
"New_Mexico","-44%","-18%","-12%","-31%","-34%","+11%"
"New_York","-62%","-32%","-47%","-68%","-46%","+16%"
"North_Carolina","-40%","-15%","+13%","-51%","-35%","+10%"
"North_Dakota","-44%","-13%","+73%","-36%","-24%","+9%"
"Ohio","-43%","-19%","+117%","-33%","-35%","+10%"
"Oklahoma","-36%","-12%","+29%","-23%","-32%","+9%"
"Oregon","-51%","-25%","-22%","-47%","-38%","+12%"
"Pennsylvania","-50%","-27%","+7%","-52%","-38%","+12%"
"Rhode_Island","-55%","-30%","-50%","-67%","-37%","+14%"
"South_Carolina","-38%","-11%","-4%","-34%","-34%","+9%"
"South_Dakota","-35%","-3%","+126%","-31%","-25%","+8%"
"Tennessee","-35%","-9%","+35%","-35%","-34%","+8%"
"Texas","-45%","-23%","-27%","-47%","-36%","+13%"
"Utah","-41%","-14%","+26%","-44%","-40%","+10%"
"Vermont","-62%","-42%","-55%","-71%","-43%","+13%"
"Virginia","-39%","-16%","+46%","-50%","-36%","+11%"
"Washington","-48%","-26%","-11%","-56%","-41%","+13%"
"West_Virginia","-38%","-16%","+52%","-31%","-33%","+8%"
"Wisconsin","-55%","-30%","-12%","-50%","-34%","+13%"
"Wyoming","-37%","-13%","+29%","-14%","-29%","+8%"
